University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
,,,Sport Management (B.A.),13.00%,"Business and organizational dimensions of sport — marketing, finance, law, facility management, and leadership for professional sport, collegiate athletics, and sport industries."
,,"School of Music, Theatre & Dance (SMTD)",Composition (B.M.),22.00%,"Craft of musical composition across orchestral, chamber, electroacoustic, and experimental music with private lessons and ensemble performance."
,,,Jazz and Contemporary Improvisation (B.M.),20.00%,"Performance and composition in jazz and contemporary improvised music — improvisation, arranging, theory, and ensemble leadership."
,,,Music Education — Choral (B.M.),27.00%,"K–12 choral music teacher certification combining performance training with pedagogy, conducting, and student teaching."
,,,Music Education — Instrumental (B.M.),27.00%,K–12 instrumental (band/orchestra) teacher certification combining performance and pedagogy.
,,,Music Theory (B.M.),25.00%,"Tonal harmony, counterpoint, post-tonal analysis, and analytical tools for understanding music's structural logic."
,,,Musicology (B.M.),28.00%,"Historical and cultural study of music — repertoire, composers, performance practice, and social contexts from antiquity to the present."
,,,Performing Arts Technology (B.M.),16.00%,"Recording studio, sound design, music technology, and music production combined with computer science, acoustics, and media."
,,,Performance: Brass (B.M.),23.00%,"Performance training for trumpet, horn, trombone, tuba — private lessons, chamber music, and large ensemble performance."
,,,Performance: Collaborative Piano (B.M.),18.00%,"Piano accompanying, chamber music coaching, and vocal/instrumental collaboration."
,,,Performance: Organ (B.M.),30.00%,"Classical organ performance and repertoire — sacred music, improvisation, and service playing."
,,,Performance: Piano (B.M.),14.00%,"Solo piano performance — technique, repertoire, and music history."
,,,Performance: Strings (B.M.),16.00%,"Performance training for violin, viola, cello, bass, guitar, harp — private lessons, chamber, and orchestral performance."
,,,Performance: Voice (B.M.),17.00%,"Classical voice — soprano, mezzo-soprano, tenor, baritone, bass — opera studio, art song, and diction."
,,,Performance: Winds and Percussion (B.M.),20.00%,"Woodwind and percussion performance — technique, solo repertoire, and chamber/orchestral performance."
,,,Performance and Music Education (B.M. Double Major),14.00%,Combined degree for intensive performance training and teacher certification — meets requirements of both programs.
,,,Performance Classical (B.M.A.),19.00%,"Classical performance (piano, strings, winds, percussion, organ, voice) with substantial academic component outside SMTD."
,,,Performance Jazz (B.M.A.),18.00%,Jazz performance with broad liberal arts curriculum — professional jazz preparation plus significant academic engagement.
,,,Multidisciplinary Studies (B.M.A.),24.00%,Flexible professional degree integrating music with coursework across the University tailored to students' musical and non-artistic interests.
,,,Acting (B.F.A.),3.00%,"Conservatory-style training in theatrical acting — voice, movement, script analysis, and scene study. Among the most selective programs at U-M."
,,,Dance (B.F.A.),12.00%,"Conservatory-level training in ballet, modern, jazz, and contemporary dance — dance history, choreography, and performance practice."
,,,Directing (B.F.A.),5.00%,"Theatrical directing — script analysis, rehearsal techniques, production management, and collaborative leadership."
,,,Interarts Performance (B.F.A.),10.00%,"Joint SMTD/Stamps program — performance at the intersection of music, theatre, visual art, and new media."
,,,Jazz (B.F.A.),18.00%,"Intensive jazz performance with improvisation, arranging, and ensemble leadership; studio art orientation distinct from the B.M. in Jazz."
,,,Musical Theatre (B.F.A.),2.00%,"Professional training combining acting, singing, and dance for the musical theatre stage. One of the most prestigious and selective musical theatre programs in the U.S."
,,,Performing Arts Technology (B.F.A.),14.00%,"Studio-intensive design and production aspects of sound, lighting, and technology in live and recorded performance — distinct from the B.M. in PAT."
,,,Theatre Design and Production (B.F.A.),12.00%,"Scenic, costume, lighting, and sound design plus technical direction for theatrical production with studio projects and production assignments."
,,,Theatre Arts (B.T.A.),15.00%,"Liberal arts theatre degree — comprehensive theatre education alongside substantial academic work for stage management, arts administration, dramaturgy, or teaching."
,,,Music (B.A.),19.00%,"Liberal arts music degree — broad musical knowledge in theory, history, and performance without performance-intensive B.M. requirements."
,,,Sound Engineering (B.S.),12.00%,"Acoustics, physics of sound, sound engineering, computer science, and sound recording. Higher academic entry requirements than other SMTD programs."
,,School of Nursing,Nursing (B.S.N.),9.50%,"Four-year professional nursing degree integrating theory, clinical practice, and evidence-based care across the lifespan with substantial hospital and community placements. Graduates are eligible to sit for the NCLEX-RN."
,,Marsal Family School of Education,"Learning, Equity, and Problem Solving for the Public Good (LEAPS) (B.A.)",16.00%,First-of-its-kind four-year undergraduate program in education leadership with a first-year living-learning experience on the Marygrove campus in Detroit. Trains 'learning leaders' for systemic change.
,,,Educator Preparation Program (B.A./B.S. with Teacher Certification),15.50%,"Professional preparation for certified K–12 teachers. Elementary candidates earn a B.A. in Education from Marsal; secondary candidates remain in their home unit (e.g., LSA, Engineering) and complete certification through Marsal."
,,School of Public Health,Community and Global Public Health (B.A.),N/A first-year; upper-level pathway,"Public health challenges through culture, social justice, ethics, policy, and global health systems. Requires fourth-year foreign-language proficiency. Health education/promotion, public health administration, and nonprofit/government careers."
,,,Public Health Sciences (B.S.),N/A first-year; upper-level pathway,"Science-based public health — biological, environmental, and epidemiological dimensions of disease. Requires public health biology and pathophysiology. Preparation for clinical health professions, epidemiology, and environmental health."
,,Gerald R. Ford School of Public Policy,Public Policy (B.A.),N/A first-year; upper-level pathway,"Two-year upper-level program — analytical skills for examining policy problems, understanding political and institutional stakes, and designing solutions. Core in public policy, economics, statistics, and political science with student-selected policy focus electives."
,,School for Environment and Sustainability (SEAS),Environment (A.B. or B.S.),16.50%,"Jointly conferred with LSA through the Program in the Environment (PitE). Interdisciplinary perspective integrating natural sciences, social sciences, and humanities. Specializations: Environmental Sciences; Environmental Social Sciences; Culture and Environment. Field study or supervised internship required."
