University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,Spanish,9.00%,Study of Spanish language and the literatures and cultures of Spain and Latin America.
,,,Statistical Science,6.40%,"Theory and practice of statistical inference, probability, and data analysis."
,,SC Johnson College of Business (Dyson + Nolan),Applied Economics and Management (Dyson),4.50%,Cornell's signature undergraduate business program at the Charles H. Dyson School of Applied Economics and Management; admits directly and lives in both CALS and the SC Johnson College of Business.
,,,Hotel Administration (Nolan),14.00%,Cornell's signature undergraduate hospitality business major at the Nolan School of Hotel Administration — one of the oldest hospitality programs in the world.
,,College of Engineering,Biological Engineering,5.80%,"Engineering of biological systems for medicine, agriculture, and biotechnology; cross-listed with CALS."
,,,Biomedical Engineering,5.40%,"Application of engineering to medicine and biology, including biomechanics, biomaterials, imaging, and medical devices."
,,,Chemical Engineering,6.20%,"Engineering of chemical and biomolecular processes for energy, materials, pharmaceuticals, and the environment."
,,,Civil Engineering,6.70%,"Design and analysis of infrastructure systems including structures, transportation, geotechnical engineering, and sustainability."
,,,Computer Science,4.90%,"Engineering-degree CS major covering algorithms, systems, theory, AI, and software; cross-listed with A&S."
,,,Earth and Atmospheric Sciences,6.80%,Study of Earth's physical and chemical processes and the atmosphere; cross-listed with CALS and A&S.
,,,Electrical and Computer Engineering,5.50%,"Study of circuits, signals, communications, control, computer hardware, and electronic systems."
,,,Engineering Physics,6.00%,Rigorous joint major between Engineering and Physics for students pursuing applied or research physics.
,,,Environmental Engineering,6.40%,"Engineering for clean water, air, soil, and sustainable infrastructure; cross-listed with CALS."
,,,Independent Major — Engineering,6.70%,Self-designed engineering major combining coursework across departments with faculty approval.
,,,"Information Science, Systems, and Technology (ISST)",5.20%,Engineering version of Information Science focusing on systems and technology; distinct from the Information Science majors in A&S and CALS.
,,,Materials Science and Engineering,6.40%,"Study of the structure, properties, and processing of metals, ceramics, polymers, semiconductors, and nanomaterials."
,,,Mechanical Engineering,5.70%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and manufacturing."
,,,Operations Research and Engineering (ORE),5.00%,"Engineering of complex systems combining mathematical modeling, optimization, probability, and statistics."
,,College of Human Ecology (CHE),Design and Environmental Analysis,8.20%,"Interdisciplinary major in design, the built environment, and human-environment interaction."
,,,Fashion Design and Management,7.50%,Major combining fashion design with the business and management of the apparel industry.
,,,Fiber Science,9.20%,"Major in the science, engineering, and design of fibers and textiles."
,,,Global & Public Health Sciences,7.20%,Interdisciplinary major in global and public health; cross-listed with CALS.
,,,"Human Biology, Health and Society",6.80%,Interdisciplinary major examining health and the human body through biology and the social sciences.
,,,Human Development,8.00%,"Study of human development across the lifespan, drawing on psychology, neuroscience, and social science."
,,,Nutritional Sciences,8.30%,Study of human nutrition and food systems; cross-listed with CALS.
,,School of Industrial and Labor Relations (ILR),Industrial and Labor Relations,12.50%,"ILR's flagship major examining work, labor, and employment through economics, sociology, history, law, and human-resource management."
,,Jeb E. Brooks School of Public Policy,Public Policy,8.00%,"Brooks School major in policy analysis combining economics, political science, statistics, and policy substance."
,,,Health Care Policy,7.80%,"Brooks School major focused on health systems, health economics, and health policy analysis."
