University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
,,College of Letters & Science — Mathematical & Physical Sciences,Analytics,6.50%,"Applied statistics, data analysis, and computational methods for evidence-based decision-making across domains."
,,,Astrophysics (including Astronomy),10.50%,"Physics and observational study of stars, galaxies, cosmology, and planetary systems with access to UC Observatories."
,,,Chemistry (L&S BA),11.00%,Broader BA pathway to chemistry combining flexibility for double majors and pre-health tracks; the BS Chemistry is offered through the College of Chemistry.
,,,Earth and Planetary Science,12.80%,"Geosciences spanning the solid Earth, oceans, atmosphere, and planets. Concentrations: Atmospheric Science; Environmental Earth Science; Geology; Geophysics; Marine Science; Planetary Science."
,,,Mathematics,9.80%,Pure and applied mathematics. Concentrations: Applied Mathematics; Mathematics; Mathematics with Teaching Concentration.
,,,Physics,10.00%,"Classical and modern physics with strong training in theory, experiment, and computation; preparation for graduate study, engineering, or industry."
,,,Undeclared – Mathematical and Physical Sciences,11.20%,First-year-only L&S entry pathway leading to a Math/Physical Sciences major.
,,College of Letters & Science — Social Sciences,African American Studies,14.50%,"Interdisciplinary study of African American history, culture, politics, and the African diaspora."
,,,Anthropology,13.80%,"Four-field anthropology: cultural, archaeological, biological, and linguistic, with strong field and lab opportunities."
,,,Asian American and Asian Diaspora Studies,14.70%,"Histories, politics, and cultural production of Asian American and diasporic communities in the U.S. and globally."
,,,Chicano Studies / Chicanx Latinx Studies,14.60%,"Interdisciplinary study of Chicanx, Latinx, and Latin American communities in the U.S. and the Americas."
,,,Cognitive Science,8.80%,"Interdisciplinary study of mind and intelligence combining psychology, linguistics, philosophy, computer science, and neuroscience."
,,,Economics,6.80%,"Microeconomics, macroeconomics, econometrics, and applied fields; strong quantitative training and access to research."
,,,Educational Sciences,13.00%,"Learning, development, and education systems studied through psychological, sociological, and policy lenses."
,,,Ethnic Studies,14.50%,"Comparative analysis of racialization, ethnicity, and social movements; flagship program for the field."
,,,Gender and Women's Studies,14.80%,"Interdisciplinary study of gender, sexuality, and feminist theory across global contexts."
,,,Geography,13.70%,"Human-environment interactions, GIS, geospatial analysis, urban geography, and physical geography."
,,,Global Studies,8.20%,Interdisciplinary global affairs major. Concentrations: Asian Area Studies I – China; Asian Area Studies II – Japan; Developmental Studies; Latin American Studies; Middle Eastern Studies; Peace and Conflict Studies.
,,,History,13.80%,"Historical research and writing across regions and periods, with strong primary-source and methods training."
,,,Linguistics,12.80%,"Phonology, syntax, semantics, historical linguistics, and language documentation across the world's languages."
,,,Native American Studies,15.50%,"Histories, sovereignty, languages, and contemporary issues of Indigenous peoples of the Americas."
,,,Political Economy,8.40%,"Interdisciplinary major combining economics, political science, and history to study the global political economy. Highly competitive capped major."
,,,Political Science,9.00%,"American politics, comparative politics, international relations, political theory, and methods."
,,,Psychology,7.50%,"Cognitive, developmental, clinical, social, and biological psychology with strong research opportunities."
,,,Social Welfare,8.50%,Preparation for social-work practice and policy with required field placements (undergraduate professional major).
,,,Sociology,12.80%,"Social structures, inequality, institutions, culture, and methods of social research."
,,,Undeclared – Social Sciences,11.50%,First-year-only L&S entry pathway leading to a Social Sciences major.
,,College of Letters & Science — Undergraduate & Interdisciplinary Studies,American Studies,14.00%,"Interdisciplinary study of American culture, politics, and society across history and the present."
,,,Interdisciplinary Studies,12.50%,Student-designed major combining coursework from multiple departments around a coherent intellectual focus.
,,,Legal Studies,9.50%,"Law and society from sociological, historical, philosophical, and policy perspectives; strong pre-law preparation."
,,,Media Studies,8.00%,"Media institutions, practices, and effects spanning journalism, digital media, film, and communication."
,,,Undeclared – Interdisciplinary Studies,12.00%,First-year-only L&S entry pathway leading to an Interdisciplinary Studies major.
,,"College of Computing, Data Science, and Society (CDSS)",Computer Science (CDSS BA),4.80%,"Algorithms, systems, theory, AI/ML, and software engineering offered as a BA through CDSS (a separate pathway from the EECS BS in CoE)."
,,,Data Science,6.00%,"Foundations of inference, computing, and the social and human contexts of data, with required Domain Emphasis from across the university."
,,,Statistics,7.00%,"Probability, statistical theory, and applied statistics with strong computational training."
,,College of Chemistry,Chemical Biology,8.50%,"Application of chemistry to biological problems including drug discovery, protein/nucleic acid chemistry, and metabolic engineering."
,,,Chemical Engineering,7.00%,"ABET-accredited program in chemical engineering with emphases available in biotechnology, materials, energy, and product development."
,,,Chemistry (College of Chemistry BS),9.00%,Rigorous BS in chemistry with strong research preparation; a parallel BA pathway is offered through L&S.
,,College of Engineering (CoE),Aerospace Engineering,5.80%,"Aerodynamics, propulsion, structures, dynamics and control, and aerospace systems design."
,,,Bioengineering,5.50%,"Engineering applied to biology and medicine: biomedical devices, imaging, computational biology, and tissue engineering."
,,,Civil Engineering,7.20%,"Structures, geotechnical engineering, transportation, water resources, environmental engineering, and construction."
,,,Electrical and Computer Engineering,5.40%,"ECE BS pathway emphasizing hardware, signal processing, communications, and computer systems."
,,,Electrical Engineering & Computer Sciences (EECS),4.20%,Flagship EECS BS combining electrical engineering and computer science; admitted directly as freshmen.
,,,Energy Engineering,6.30%,"Engineering Science program focused on sustainable energy systems, generation, storage, and policy."
,,,Engineering Mathematics and Statistics,5.80%,Engineering Science program providing rigorous mathematical and statistical foundations applied to engineering problems.
,,,Engineering Physics,6.50%,Engineering Science program combining advanced physics with engineering design and computation.
,,,Environmental Engineering Science,7.50%,"Engineering Science program addressing environmental systems, water, air, and contamination."
,,,Industrial Engineering and Operations Research,5.50%,"Optimization, stochastic modeling, data analytics, and decision systems for industry, logistics, and finance."
,,,Environmental Engineering,7.40%,"Water and air quality engineering, environmental chemistry, and sustainable infrastructure design."
,,,Materials Science and Engineering,6.80%,"Structure, properties, and processing of metals, ceramics, polymers, semiconductors, and biomaterials."
,,,Mechanical Engineering,5.80%,"Thermofluids, dynamics and control, design, manufacturing, robotics, and energy systems."
,,,Nuclear Engineering,7.20%,"Nuclear reactor physics, radiation transport, fusion, medical physics, and nuclear policy."
,,,"Management, Entrepreneurship, and Technology (M.E.T.)",2.50%,Highly selective freshman-only simultaneous dual degree from CoE and Haas. Tracks: Aerospace/Business Admin; Bioengineering/Business Admin; Civil Engineering/Business Admin; EECS/Business Admin; IEOR/Business Admin; Materials Science/Business Admin; Mechanical Engineering/Business Admin; Undeclared Engineering/Business Admin.
,,,Undeclared Engineering,5.70%,First-year-only entry pathway to declare a CoE major after completing prerequisites.
,,College of Environmental Design (CED),Architecture,9.00%,"Pre-professional BA in architecture covering design studios, history, theory, structures, and environmental systems."
,,,Landscape Architecture,10.50%,"Design of landscapes, ecology, urban open space, and climate-responsive site design."
,,,Sustainable Environmental Design,10.00%,Interdisciplinary major examining sustainability across built and natural environments with policy and design perspectives.
,,,Urban Studies,10.80%,"Urban planning, urban policy, social/spatial inequality, and city design; pre-professional for planning careers."
,,Rausser College of Natural Resources,Conservation and Resource Studies,13.50%,"Interdisciplinary study of human-environment interactions, conservation policy, and resource management."
,,,Ecosystem Management and Forestry,13.00%,"Forest ecology, wildland management, and natural-resource policy. Concentrations: Forestry; Natural Resource Management."
,,,Environmental Economics and Policy,10.50%,"Economic analysis of environmental and natural-resource policy, including land, water, energy, and climate."
,,,Environmental Sciences,12.00%,"Quantitative and field study of environmental systems combining physical, biological, and social sciences."
,,,Genetics and Plant Biology,12.50%,"Plant genetics, molecular biology, biotechnology, and crop improvement."
,,,Microbial Biology,11.80%,"Microbial physiology, genetics, ecology, and biotechnology including applications to health and the environment."
,,,Molecular Environmental Biology,11.50%,Molecular and organismal biology applied to environmental problems and conservation.
,,,Nutrition & Metabolic Biology,10.80%,"Human nutrition, metabolism, and nutritional biochemistry; preparation for clinical and research careers."
,,,Society and Environment,12.50%,"Environment, justice, political ecology, and social science perspectives on environmental change."
,,,Undeclared – Rausser,13.00%,First-year-only entry pathway to declare a Rausser College major.
,,Haas School of Business,Spieker Undergraduate Business Program,4.50%,"Selective four-year direct-admit BS in Business Administration for freshmen, with cohort-based core and leadership development."
,,,Business Administration,4.80%,"Traditional junior-entry BS in Business Administration covering finance, accounting, marketing, management, operations, and entrepreneurship; admission by application after sophomore year."
,,,Global Management Program,4.00%,Selective first-year-only program at Haas combining business with global perspectives and study abroad.
,,,"Robinson Life Science, Business, and Entrepreneurship Program",4.00%,Haas-partnered selective interdisciplinary program (administered under L&S Biological Sciences) combining life sciences with business and entrepreneurship.
,,,"Management, Entrepreneurship, and Technology (M.E.T.)",2.50%,Freshman-only simultaneous dual degree with the College of Engineering — see CoE listing for engineering tracks paired with Business Administration.
