University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,Computer Science (BS),5.20%,"Engineering-degree Computer Science major covering algorithms, systems, theory, AI, and software."
,,,Computer Science (BA),5.50%,BA-CS option allowing Computer Science with a broader liberal-arts curriculum.
,,,Electrical Engineering,5.80%,"Study of circuits, signals, communications, control, electromagnetics, and electronic systems."
,,,Environmental Engineering,6.40%,"Engineering for clean water, air, soil, and sustainable infrastructure."
,,,Industrial Engineering,5.90%,"Design and optimization of complex systems involving people, processes, and technology, including operations and analytics."
,,,Integrated Engineering Studies,6.40%,Customizable McCormick major allowing students to design an integrated engineering program across disciplines.
,,,Manufacturing & Design Engineering (MaDE),6.30%,Project-based engineering major through the Segal Design Institute combining design thinking with manufacturing engineering.
,,,Materials Science and Engineering,6.20%,"Study of the structure, properties, and processing of metals, ceramics, polymers, semiconductors, and nanomaterials."
,,,Mechanical Engineering,5.90%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and manufacturing."
,,"Medill School of Journalism, Media, Integrated Marketing Communications",Journalism (BSJ),5.80%,"Northwestern's signature Bachelor of Science in Journalism. Students choose a specialization within the BSJ such as Magazine and Long-form, Broadcast and Documentary, Data and Digital, or Strategic Communication. An Integrated Marketing Communications (IMC) undergraduate certificate is also available alongside the BSJ."
,,School of Communication,Communication Studies,6.80%,"Study of communication processes, media, organizations, and culture."
,,,Dance,7.40%,"Major in dance technique, choreography, performance, and dance studies."
,,,Human Communication Sciences,6.70%,"Study of speech, language, and hearing sciences, including communication disorders; preparation for speech-language pathology and audiology."
,,,Performance Studies,7.40%,"Critical and creative study of performance as a way of knowing, drawing on literature, ethnography, and the arts."
,,,Radio/Television/Film,6.20%,"Major in screen production, screenwriting, and media studies covering television, film, and digital media."
,,,Theatre,6.80%,"Major in theater, including acting, directing, playwriting, design, theory, and history."
,,,Combined Music and Communication Program,7.00%,Dual-degree program with the Bienen School of Music for students pursuing both music and a Communication major.
,,Bienen School of Music,Bachelor of Music in Music Performance,13.00%,"Conservatory BM major in performance with tracks in Brass, Jazz Studies, Percussion, Piano, Strings, Voice & Opera, and Woodwinds."
,,,Bachelor of Music in Composition,11.00%,Conservatory BM major in music composition.
,,,Bachelor of Music in Jazz Studies,12.00%,"Conservatory BM major in jazz performance, theory, history, and improvisation."
,,,Bachelor of Music in Music Education,18.00%,Conservatory BM major combining music study with the pedagogy and practice of music education.
,,,Bachelor of Music in Musicology,17.00%,Conservatory BM major in the historical and cultural study of music.
,,,Bachelor of Music in Music Theory and Cognition,15.00%,Conservatory BM major combining music theory with the cognitive science of music.
,,School of Education and Social Policy (SESP),Human Development in Context,6.80%,"Study of human development across the lifespan and across cultural, social, and institutional contexts."
,,,Learning and Organizational Change,6.50%,"Study of how individuals and organizations learn, change, and innovate."
,,,Learning Sciences,6.80%,"Interdisciplinary study of how people learn, drawing on cognitive science, education, and design."
,,,Secondary Teaching,7.20%,Teacher-preparation major for secondary education with subject-area concentration and a path to Illinois licensure.
,,,Social Policy,6.60%,"Interdisciplinary major in social policy analysis combining economics, political science, sociology, and policy substance."
