University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,Near Eastern Studies,7.40%,"Interdisciplinary study of the languages, histories, religions, and cultures of the ancient and modern Near East."
,,,Neuroscience,4.40%,"Study of the nervous system across molecular, cellular, systems, cognitive, and behavioral levels."
,,,Philosophy,6.90%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Physics,5.60%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics."
,,,Political Science,5.50%,"Study of political institutions, behavior, theory, and international relations."
,,,Psychology,5.00%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Public Health Studies,4.50%,"Interdisciplinary major in public health drawing on JHU's Bloomberg School of Public Health, with epidemiology, health policy, and global health coursework."
,,,Romance Languages,7.40%,"Comparative study of the Romance languages and literatures, including French, Italian, Spanish, and Portuguese."
,,,Sociology,6.70%,"Study of social structure, inequality, institutions, and change with empirical methods training."
,,,Spanish,7.20%,Study of Spanish language and the literatures and cultures of Spain and Latin America.
,,,Writing Seminars,6.60%,"JHU's signature creative-writing major across fiction, poetry, nonfiction, and screenwriting."
,,Whiting School of Engineering,Applied Mathematics and Statistics,4.60%,"Mathematics and statistics applied to problems in science, engineering, finance, and operations research."
,,,Biomedical Engineering,3.50%,"Application of engineering to medicine and biology, including biomechanics, biomaterials, imaging, and computational biology; one of the most selective BME programs in the U.S."
,,,Chemical and Biomolecular Engineering,4.80%,"Engineering of chemical and biomolecular processes for energy, materials, pharmaceuticals, and the environment."
,,,Civil Engineering,5.40%,"Design and analysis of infrastructure systems including structures, transportation, geotechnical engineering, and sustainability."
,,,Computer Engineering,4.50%,"Joint program between WSE Computer Science and Electrical Engineering covering hardware-software integration, embedded systems, and computer architecture."
,,,Computer Science,4.20%,"Foundations and applications of computing — algorithms, systems, theory, AI, and software; offered to both KSAS and WSE students but administered by WSE."
,,,Electrical Engineering,4.80%,"Study of circuits, signals, communications, control, electromagnetics, semiconductor devices, and electronic systems."
,,,Environmental Engineering,5.20%,"Engineering for clean water, air, soil, and sustainable infrastructure."
,,,General Engineering,5.50%,Customizable engineering major allowing students to design a broad engineering education across disciplines.
,,,Materials Science and Engineering,5.10%,"Study of the structure, properties, and processing of metals, ceramics, polymers, semiconductors, and nanomaterials."
,,,Mechanical Engineering,4.70%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and manufacturing."
,,,Systems Engineering,4.90%,"Engineering of complex systems combining technical design with modeling, optimization, and management."
,,Peabody Institute (Conservatory),Bachelor of Music in Performance,28%,"Conservatory performance major with tracks in Orchestral Instruments, Piano, Voice, Organ, Guitar, Harpsichord, Historical Performance, and Computer Music."
,,,Bachelor of Music in Composition,24%,"Conservatory major in music composition with study across acoustic, electronic, and mixed media."
,,,Bachelor of Music in Jazz Performance,27%,"Conservatory major in jazz performance, theory, history, and improvisation."
,,,Bachelor of Music in Hip Hop,32%,"Conservatory major focused on hip hop creation, performance, production, and culture."
,,,Bachelor of Music in Music for New Media,26%,"Conservatory major focused on music composition and design for film, games, and digital media."
,,,Bachelor of Music in Music Education,36%,Conservatory major combining performance with the pedagogy and practice of music education for K-12 settings.
,,,Bachelor of Music in Recording Arts & Sciences,24%,"Conservatory major combining music performance with audio engineering, recording, and music technology."
,,,Bachelor of Fine Arts in Dance,30%,"Conservatory BFA in dance performance, choreography, and dance studies."
