University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,School of Computer Science (SCS),Bachelor of Science in Computer Science,3.80%,"Carnegie Mellon's flagship CS degree, covering algorithms, systems, programming languages, theory, and AI/ML, with extensive elective depth across all major subfields of computing."
,,,Bachelor of Science in Artificial Intelligence,3.40%,"The first undergraduate AI degree in the U.S., focusing on machine learning, neural networks, perception, decision-making, and the ethics and societal impact of intelligent systems."
,,,"Bachelor of Science in Computational Biology, joint with Biological Sciences",5.00%,"Combines computer science, biology, statistics, and chemistry to analyze genomic data, model biological systems, and develop computational tools for the life sciences."
,,,Bachelor of Science in Human-Computer Interaction,4.60%,"Integrates computer science, design, behavioral science, and prototyping methods to build user-centered software, hardware, and interactive experiences."
,,,Bachelor of Science in Robotics,3.90%,"Covers the algorithms, perception, control, mechanical design, and machine learning needed to design and operate autonomous robotic systems."
,,,"Bachelor of Science in Statistics and Machine Learning, joint with Statistics & Data Science",4.20%,"A rigorous joint SCS and Dietrich major combining statistical theory, machine learning, and large-scale data analysis for careers in data science and ML research."
,,,"Bachelor of Computer Science and Arts (BCSA, joint with the College of Fine Arts)",3.50%,"An intercollege BXA degree blending an SCS computing track with a CFA arts concentration in art, design, drama, or music for technology-and-arts careers."
,,College of Engineering (CIT),Bachelor of Science in Chemical Engineering,10.50%,"Applies chemistry, thermodynamics, transport, and process systems engineering to design and scale processes for energy, materials, pharmaceuticals, and biotechnology."
,,,Bachelor of Science in Civil Engineering,12.50%,"Covers structures, geotechnics, transportation, and construction management with strong emphasis on smart infrastructure, sustainability, and computational methods."
,,,Bachelor of Science in Environmental Engineering,12.80%,"Combines chemistry, biology, and process engineering to address water and air quality, waste systems, energy, and climate-resilient infrastructure."
,,,Bachelor of Science in Electrical and Computer Engineering,7.80%,"Spans signal processing, circuits, embedded systems, computer architecture, networking, control, and machine learning, with deep integration of hardware and software."
,,,Bachelor of Science in Materials Science and Engineering,12.00%,"Studies the structure, properties, processing, and performance of metals, polymers, ceramics, semiconductors, and biomaterials, with extensive lab and computational work."
,,,Bachelor of Science in Mechanical Engineering,9.00%,"Covers mechanics, thermodynamics, dynamics and controls, manufacturing, and design, with strong tracks in robotics, energy systems, and product design."
,,,Additional Major in Biomedical Engineering,N/A first-year; apply through primary Engineering major,"A second-major program taken alongside a primary engineering discipline, applying engineering analysis to biomechanics, biomaterials, medical devices, and biomedical imaging."
,,,"Additional Major in Engineering Design, Innovation, and Entrepreneurship (EDIE)",N/A first-year; apply through primary Engineering major,"Pairs an engineering primary major with coursework in design thinking, venture creation, and product development for engineering-driven innovation."
,,,Additional Major in Engineering and Public Policy (EPP),N/A first-year; apply through primary Engineering major,"Combines an engineering primary major with policy analysis, risk, ethics, and decision sciences for work at the interface of technology and public policy."
,,Dietrich College of Humanities and Social Sciences,BA in Creative Writing — Department of English,15.50%,"Workshop-based study of fiction, poetry, and creative nonfiction paired with literature and craft seminars and significant cross-genre experimentation."
,,,BA in Literary and Cultural Studies — Department of English,16.00%,"Close reading and theoretical analysis of literature, film, and media across periods and cultures, training critical writing and humanistic argument."
,,,BA in Professional Writing — Department of English,14.50%,"Trains students in technical, science, and business communication, document design, editing, and digital writing for industry and public-sector careers."
,,,BA/BS in Social and Political History — Department of History,16.00%,"Investigates political, social, economic, and technological change across regions and eras, with strong methods training in archival, quantitative, and digital history."
,,,BA in Global Studies — Department of History,13.50%,"Interdisciplinary study of globalization, transnational politics, migration, and culture, combining history, anthropology, and policy with regional and language coursework."
,,,"BA/BS in Ethics, History and Public Policy (EHPP, joint with Philosophy)",12.50%,"A joint History/Philosophy major combining ethical theory, political philosophy, historical case study, and policy analysis."
,,,BA in Philosophy — Department of Philosophy,16.00%,"Rigorous study of logic, ethics, epistemology, metaphysics, and philosophy of science, with CMU's notable strengths in formal philosophy and philosophy of computation."
,,,BA in Linguistics — joint program,14.00%,"Interdisciplinary study of phonology, syntax, semantics, and psycholinguistics drawing on philosophy, psychology, and language technologies."
,,,BS in Logic and Computation — Department of Philosophy,9.00%,"Combines formal logic, theoretical computer science, and the foundations of mathematics to study computability, model theory, and algorithmic decision-making."
,,,BA/BS in Psychology — Department of Psychology,12.00%,"Covers cognitive, social, developmental, and neuroscience aspects of psychology, with strong methods training and access to interdisciplinary brain-and-behavior research."
,,,BS in Cognitive Science — Department of Psychology,10.50%,"Integrates psychology, neuroscience, philosophy, linguistics, and computer science to study how minds and intelligent systems perceive, reason, and learn."
,,,"BS in Neuroscience, joint with Mellon College of Science / Neuroscience Institute",9.50%,"Joint Dietrich/MCS major covering molecular, cellular, systems, and cognitive neuroscience with substantial laboratory and computational training."
,,,"BS in Psychology and Biological Sciences, joint with Mellon College of Science",9.80%,Joint Dietrich/MCS major combining behavioral and cognitive psychology with cellular and molecular biology for biomedical and neuroscience-oriented careers.
,,,BS in Behavioral Economics — Department of Social and Decision Sciences,9.50%,"Combines economics, psychology, and decision science to study how people actually make economic decisions in markets, organizations, and policy settings."
,,,"BA in Behavioral Economics, Policy and Organizations — Social and Decision Sciences",11.00%,"A more qualitative behavioral-economics track emphasizing organizational behavior, policy design, and applied decision research."
,,,BS in Decision Science — Department of Social and Decision Sciences,9.80%,"Trains students in judgment and decision-making, behavioral economics, statistics, and policy analysis for evidence-based decision design."
,,,BS in Policy and Management — Department of Social and Decision Sciences,12.00%,"Integrates social science, statistics, and management for public policy analysis, program evaluation, and management of complex organizations."
,,,BS in Statistics & Data Science — Department of Statistics & Data Science,8.00%,"World-class undergraduate statistics program covering probability theory, statistical modeling, computing, and modern data science methods."
,,,"BS in Statistics & Data Science, Mathematical Sciences Track",7.50%,"A more mathematically intensive variant emphasizing measure-theoretic probability, advanced mathematical statistics, and stochastic modeling."
,,,"BS in Statistics & Data Science, Neuroscience Track",7.80%,Combines the core statistics curriculum with neuroscience coursework for students applying statistical methods to brain and behavioral data.
,,,BA in Economics — Undergraduate Economics Program,11.00%,"Liberal-arts-oriented economics degree covering microeconomics, macroeconomics, and econometrics with broad elective flexibility."
,,,BS in Economics — Undergraduate Economics Program,9.50%,"A more quantitatively rigorous economics track with deeper mathematics, statistics, and econometrics coursework."
,,,"BS in Economics and Mathematical Sciences, joint with MCS Mathematical Sciences",7.00%,Joint major combining advanced economics with rigorous pure and applied mathematics for research-oriented and quantitative careers.
,,,"BS in Economics and Politics, joint with CMIST",9.00%,Combines economic theory and econometrics with international relations and political institutions for policy and political-economy careers.
,,,"BS in Economics and Statistics, joint with Statistics & Data Science",7.20%,"Pairs core economics with the statistics curriculum for students focused on econometrics, empirical economics, and quantitative policy work."
,,,BS in International Relations and Political Science — CMIST,11.00%,"Studies international security, political economy, grand strategy, and diplomacy, combining political science with history, economics, and quantitative methods."
,,,"BS in Science, Technology and Society — Department of History",13.00%,"Examines how science and technology are shaped by — and reshape — society, ethics, and policy, combining historical, philosophical, and social-science methods."
,,,BA in Applied Multilingual Studies — Department of LCAL,17.00%,"Develops advanced proficiency in two foreign languages alongside study of intercultural communication, translation, and applied linguistics."
,,,BA in Chinese Studies — Department of LCAL,17.00%,"Combines advanced Chinese language with study of Chinese literature, film, history, and politics."
,,,BA in French and Francophone Studies — Department of LCAL,18.00%,"Advanced French language coupled with study of literature, film, and cultures of France and the broader Francophone world."
,,,BA in German Studies — Department of LCAL,18.00%,"Advanced German language paired with literature, philosophy, history, and culture of German-speaking Europe."
,,,BA in Hispanic Studies — Department of LCAL,17.50%,"Advanced Spanish language with study of literature, film, and cultures of Spain and Latin America."
,,,BA in Japanese Studies — Department of LCAL,17.00%,"Advanced Japanese language with literature, film, and culture of Japan, often combined with technology or business coursework."
,,,BA in Russian Studies — Department of LCAL,18.00%,"Advanced Russian language with study of Russian and Eurasian literature, history, politics, and culture."
,,Information Systems Program (joint Heinz College and Dietrich College),Bachelor of Science in Information Systems,7.50%,"A technically rigorous information systems degree jointly offered by Heinz and Dietrich that blends software development, databases, AI/ML, human-centered design, and business analysis with humanities and social-science coursework, with concentrations available in AI Management, Information Security, Product Management, Technology & Arts Enterprises, Technology & International Development, and UX Design."
,,Mellon College of Science (MCS),BS in Biological Sciences — Department of Biological Sciences,11.00%,"Covers molecular, cellular, and organismal biology with deep training in genetics, biochemistry, and modern experimental methods."
,,,"BS in Biological Sciences, Neuroscience Track",9.80%,"A neuroscience-focused biology variant emphasizing systems neuroscience, neural circuits, and behavioral biology."
,,,"BS in Biological Sciences and Psychology, joint with Dietrich Psychology",10.00%,Joint MCS/Dietrich major combining experimental biology with behavioral and cognitive psychology.
,,,"BS in Neuroscience — Neuroscience Institute, joint with Dietrich",9.50%,"Cross-college neuroscience degree integrating molecular, cellular, systems, and computational neuroscience with cognitive science."
,,,BS in Chemistry — Department of Chemistry,12.50%,"Covers organic, inorganic, physical, and analytical chemistry with extensive laboratory training in synthesis, spectroscopy, and instrumentation."
,,,BA in Chemistry — Department of Chemistry,14.00%,A more flexible chemistry degree allowing concentrations and double majors with reduced laboratory load.
,,,BS in Chemistry / Biological Chemistry,11.50%,"A biological chemistry concentration emphasizing biochemistry, organic mechanisms, and the molecular basis of biological systems."
,,,BS in Mathematical Sciences — Department of Mathematical Sciences,10.00%,"Rigorous mathematics degree spanning analysis, algebra, topology, probability, discrete math, and applied mathematics."
,,,"BS in Computational Finance, joint with Tepper",4.50%,"Combines advanced mathematics, statistics, computation, and finance for quantitative trading, risk modeling, and financial engineering."
,,,"BS in Mathematical Sciences and Economics, joint with Dietrich Economics",7.00%,Joint MCS/Dietrich major combining rigorous mathematics with economic theory and econometrics.
,,,BS in Physics — Department of Physics,11.00%,"Covers classical and quantum mechanics, electromagnetism, statistical mechanics, and modern experimental physics, with optional concentrations such as Applied, Astro-, Biological, Chemical, Computational, or Quantum Physics."
,,BXA Intercollege Degree Programs,Bachelor of Humanities and Arts (BHA) — Dietrich + College of Fine Arts,7.50%,"Four-year intercollege degree combining a concentration in the humanities or social sciences with a concentration in art, design, drama, or music."
,,,Bachelor of Science and Arts (BSA) — Mellon College of Science + College of Fine Arts,7.00%,"Four-year intercollege degree combining a concentration in a science or math discipline with a concentration in art, design, drama, or music."
,,,Bachelor of Computer Science and Arts (BCSA) — School of Computer Science + College of Fine Arts,3.50%,"Four-year intercollege degree melding a computer science concentration with an art, design, drama, or music concentration for technology-and-arts careers."
,,,Bachelor of Engineering Studies and Arts (BESA) — College of Engineering + College of Fine Arts,7.50%,Four-year intercollege degree pairing engineering studies with an arts concentration for students bridging engineering thinking and creative practice.
,,,Engineering and Arts (EA) Additional Major — College of Engineering + College of Fine Arts,N/A first-year; apply through primary CMU college first,Additional major for engineering students adding a concentration of College of Fine Arts coursework to their primary engineering degree.
