University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,Music (Course 21M-1),,"Trains students in music theory, history, composition, and performance, with access to MIT's ensembles, electronic music studios, and music technology labs."
,,,Theater Arts (Course 21M-2),,"Combines acting, directing, design, and dramatic literature with hands-on production work in MIT's theater spaces and collaborations with professional artists."
,,,Philosophy (Course 24-1),,"Examines foundational questions in ethics, metaphysics, epistemology, logic, and political theory, with strong analytic and formal-logic traditions at MIT."
,,,Political Science (Course 17),,"Applies empirical methods and political theory to study elections, institutions, international relations, security, and the politics of technology and policy."
,,,"Science, Technology, and Society (STS)",,"Examines how scientific knowledge and technological systems are produced, contested, and shaped by social, historical, ethical, and political forces."
,,,Writing (Course 21W),,"Develops craft across creative nonfiction, fiction, poetry, journalism, science writing, and digital media through intensive workshop-style instruction."
,,,Humanities (Course 21),,"A flexible major allowing students to design a concentration drawing from two or more humanities disciplines such as history, literature, and philosophy."
,,,Humanities and Science (Course 21S),,"Pairs a full humanities concentration with a complete science major, training students fluent in both interpretive and quantitative modes of inquiry."
,,,Humanities and Engineering (Course 21E),,"Pairs a full humanities concentration with a complete engineering track, preparing graduates who can bridge technical work with cultural and ethical reasoning."
,,MIT Sloan School of Management,Management (Course 15-1),"4.6% for the entire university — MIT does not publish school-specific acceptance rates, and the major listed on the application does not alter one's chances of getting accepted.","Builds core business fundamentals — strategy, organizations, operations, marketing, and accounting — emphasizing analytical decision-making and entrepreneurial leadership."
,,,Business Analytics (Course 15-2),,"Applies statistics, optimization, and machine learning to operational and strategic business problems, training students to extract insight from large enterprise datasets."
,,,Finance (Course 15-3),,"Covers asset pricing, corporate finance, derivatives, and financial engineering, combining economic theory with the quantitative methods used in modern financial markets."
,,School of Science,Biology (Course 7),"4.6% for the entire university — MIT does not publish school-specific acceptance rates, and the major listed on the application does not alter one's chances of getting accepted.","Studies the molecular, cellular, and organismal foundations of life, with deep training in genetics, biochemistry, microbiology, and modern experimental methods."
,,,Chemistry (Course 5),,"Covers organic, inorganic, physical, and analytical chemistry, with extensive laboratory training in synthesis, spectroscopy, and the quantitative study of matter."
,,,"Chemistry and Biology (Course 5-7, joint with Biology)",,"An interdisciplinary track integrating chemical principles with molecular biology to prepare students for biochemistry, drug discovery, and chemical biology research."
,,,Brain and Cognitive Sciences (Course 9),,"Examines the mind and brain from molecules to cognition, combining neuroscience, psychology, computation, and systems-level study of perception and behavior."
,,,"Earth, Atmospheric, and Planetary Sciences (Course 12)",,"Investigates the physics, chemistry, and history of Earth and other planets, covering geology, oceanography, atmospheric science, and planetary exploration."
,,,Mathematics (Course 18),,"Provides rigorous training in pure and applied mathematics — analysis, algebra, topology, probability, and combinatorics — preparing students for research and quantitative careers."
,,,Mathematics with Computer Science (Course 18-C),,"Combines core mathematics with theoretical computer science, focusing on algorithms, discrete math, logic, and the mathematical foundations of computation."
,,,Physics (Course 8),,"Covers classical and quantum mechanics, electromagnetism, thermodynamics, relativity, and modern experimental physics with extensive laboratory and computational training."
,,,"Physics, Flexible Option (Course 8 Flexible)",,"A flexible physics track allowing concentration in adjacent fields such as biophysics, astrophysics, geophysics, or quantitative finance."
,,MIT Stephen A. Schwarzman College of Computing,Computer Science and Engineering (Course 6-3),"4.6% for the entire university — MIT does not publish school-specific acceptance rates, and the major listed on the application does not alter one's chances of getting accepted.","Provides deep training in algorithms, software engineering, systems, cloud and distributed computing, cryptography, and the theoretical foundations of computation."
,,,Electrical Engineering and Computer Science (Course 6-2),,"Bridges electrical hardware and software, combining circuit design, embedded systems, and computer architecture with programming and algorithmic foundations."
,,,Electrical Engineering with Computing (Course 6-5),,"Pairs physical devices, signal processing, electromagnetics, and quantum systems with the computing logic needed to design and control them."
,,,Artificial Intelligence and Decision Making (Course 6-4),,"Focuses on the mathematics and engineering of machine learning, statistics, autonomous systems, and decision-making under uncertainty."
,,,"Computer Science and Molecular Biology (Course 6-7, joint with Biology)",,"Combines algorithms, software engineering, and large-scale data analysis with molecular biology to power bioinformatics, genomics, and computational biology."
,,,"Computation and Cognition (Course 6-9, joint with Brain & Cognitive Sciences)",,"Connects cognitive science with computational modeling to study learning, perception, and the algorithmic basis of intelligence in brains and machines."
,,,"Computer Science, Economics, and Data Science (Course 6-14, joint with Economics)",,"Integrates data science and computation with economic theory, game theory, and market design for analytics, policy, and platform engineering."
,,,"Urban Science and Planning with Computer Science (Course 11-6, joint with Urban Studies and Planning)",,"Uses data science, GIS, and software tools to study and design transportation networks, housing, and equitable, evidence-based urban policy."
