University,U.S. News Rankings,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,Literary Arts,5.90%,"Workshop-based concentration in creative writing across fiction, poetry, nonfiction, and digital/electronic literature."
,,,Medieval Cultures,7.00%,"Interdisciplinary study of the cultures, languages, and arts of the medieval world."
,,,Middle East Studies,6.70%,"Interdisciplinary study of the languages, histories, and cultures of the Middle East."
,,,Philosophy,6.20%,"Study of fundamental questions in metaphysics, epistemology, ethics, logic, and the history of philosophy."
,,,Portuguese and Brazilian Studies,6.90%,"Study of the languages, literatures, and cultures of the Lusophone world."
,,,Religious Studies,6.80%,"Comparative and historical study of religious traditions, texts, and practices."
,,,Slavic Studies,6.90%,"Interdisciplinary study of the languages, literatures, and cultures of the Slavic world."
,,,South Asian Studies,6.80%,"Interdisciplinary study of the languages, histories, religions, and cultures of South Asia."
,,The College — Social Sciences,Anthropology,6.10%,"Study of human societies, cultures, and biological evolution."
,,,Behavioral Decision Sciences,5.00%,"Interdisciplinary concentration examining how individuals make decisions, drawing on psychology, economics, and neuroscience."
,,,Economics,4.60%,"Study of how individuals, firms, and societies allocate resources."
,,,Education Studies,6.00%,"Interdisciplinary study of education as a field — policy, sociology, psychology, and practice."
,,,Environmental Sciences and Studies,5.70%,"Interdisciplinary concentration in environmental science, policy, and the humanities (cross-listed with physical sciences)."
,,,International and Public Affairs,4.90%,"Interdisciplinary concentration through the Watson Institute in international politics, security, and public policy."
,,,Political Science,5.10%,"Study of political institutions, behavior, theory, and international relations."
,,,Psychology,4.90%,"Scientific study of mind and behavior across cognitive, developmental, social, clinical, and biological psychology."
,,,Public Health,4.60%,"Interdisciplinary concentration through the School of Public Health in epidemiology, health policy, and global health."
,,,"Science, Technology, and Society",5.80%,Interdisciplinary study of how science and technology develop and shape society.
,,,Social Analysis and Research,5.70%,Concentration in social-science research methods and applied empirical research.
,,,Sociology,6.00%,"Study of social structure, inequality, institutions, and change."
,,,Urban Studies,5.90%,"Interdisciplinary study of cities and urbanization drawing on planning, sociology, history, and policy."
,,The College — Life Sciences,Biochemistry & Molecular Biology,4.60%,Study of the molecular basis of life at the intersection of biology and chemistry.
,,,Biology,4.80%,Broad study of living systems from molecules and cells to organisms and ecosystems.
,,,Computational Biology,4.30%,"Major combining biology, computer science, and statistics to analyze biological and biomedical data."
,,,"Earth, Climate, and Biology",5.30%,"Interdisciplinary concentration examining the co-evolution of Earth, climate, and life."
,,,Health & Human Biology,4.70%,Interdisciplinary concentration examining health and the human body through biology and the social sciences.
,,,Neuroscience,4.40%,"Study of the nervous system across molecular, cellular, systems, cognitive, and behavioral levels."
,,The College — Physical Sciences,Astronomy,5.40%,Observational and theoretical study of celestial objects and the universe.
,,,Chemical Physics,5.10%,Combined study of chemistry and physics focused on the physical principles underlying chemical phenomena.
,,,Chemistry,5.20%,"Study of matter and its transformations across organic, inorganic, physical, and analytical chemistry."
,,,Computational Chemistry and Chemical Physics,4.90%,Concentration applying computation and quantum methods to chemistry and chemical physics.
,,,Earth and Planetary Science,5.80%,"Study of the Earth's and other planets' physical and chemical processes, geology, and atmospheres."
,,,Geochemistry and Environmental Chemistry,5.70%,Chemistry applied to Earth systems and environmental processes.
,,,Geophysics and Climate Physics,5.30%,"Quantitative study of Earth's physical systems including the climate, oceans, and interior."
,,,Physics,5.00%,"Rigorous study of classical mechanics, electromagnetism, quantum mechanics, statistical mechanics, and contemporary physics."
,,The College — School of Engineering,Biomedical Engineering,4.40%,"Application of engineering to medicine and biology including biomechanics, biomaterials, and imaging."
,,,Chemical Engineering,4.90%,"Engineering of chemical and biomolecular processes for energy, materials, and the environment."
,,,Computer Engineering,4.20%,"Hardware-software integration covering digital systems, embedded systems, and computer architecture."
,,,Design Engineering,4.60%,Engineering concentration combining engineering design with the arts and human-centered design through the Brown-RISD partnership.
,,,Electrical Engineering,4.50%,"Study of circuits, signals, communications, control, electromagnetics, and electronic systems."
,,,Engineering (general),4.80%,Customizable engineering concentration leading to a BA or ScB across engineering disciplines.
,,,Engineering and Physics,4.60%,Joint concentration combining engineering with rigorous training in physics.
,,,Environmental Engineering,5.00%,"Engineering for clean water, air, soil, and sustainable infrastructure."
,,,Materials Engineering,5.10%,"Study of the structure, properties, and processing of metals, ceramics, polymers, and semiconductors."
,,,Mechanical Engineering,4.70%,"Study of mechanics, thermodynamics, fluids, materials, design, robotics, and manufacturing."
,,"The College — Mathematics, Computer Science & Statistics",Applied Mathematics,4.80%,"Mathematics applied to scientific, engineering, and social problems with modeling and computation."
,,,Computer Science,4.00%,"Foundations and applications of computing — algorithms, systems, theory, AI, and software."
,,,Mathematics,5.00%,"Pure mathematics including analysis, algebra, geometry, and topology."
,,,Statistics,4.70%,"Theory and practice of statistical inference, probability, and data analysis."
,,The College — Interdisciplinary / Joint Concentrations,Applied Mathematics-Biology,4.50%,Joint concentration combining applied math with biological modeling and computation.
,,,Applied Mathematics-Computer Science,4.10%,Joint concentration combining applied math with computer science theory and applications.
,,,Applied Mathematics-Economics,4.20%,Joint concentration combining advanced applied math with economic theory and econometrics.
,,,Biophysics,4.90%,Interdisciplinary concentration applying physical principles and quantitative methods to biological systems.
,,,Cognitive Neuroscience,4.50%,Concentration combining cognitive science with neuroscience to study the brain basis of cognition.
,,,Cognitive Science,4.90%,"Interdisciplinary study of mind and intelligence drawing on psychology, neuroscience, linguistics, philosophy, and CS."
,,,Computational Neuroscience,4.30%,Quantitative concentration combining neuroscience with computational and modeling methods.
,,,Computer Science-Economics,3.90%,"Joint concentration combining CS with economic theory, market design, and applied microeconomics."
,,,Mathematics-Computer Science,4.20%,Joint concentration combining mathematical foundations with computer science.
,,,Mathematics-Economics,4.40%,Joint concentration combining advanced mathematics with economic theory.
,,,Physics and Philosophy,5.20%,Joint concentration examining the foundations and philosophy of physics.
,,The College — Visual & Performing Arts,Architecture,5.60%,"Liberal-arts concentration in architecture studies, design, history, and theory through Brown's Department of History of Art and Architecture."
,,,Modern Culture and Media,5.70%,"Brown signature concentration in critical media studies, film, and cultural theory, with creative and scholarly tracks."
,,,Music,6.20%,"Study of music history, theory, ethnomusicology, composition, and performance."
,,,Theatre Arts and Performance Studies,6.00%,"Study of theater and performance as text, embodied practice, and cultural form."
,,,Visual Art,5.70%,"Studio concentration in painting, sculpture, photography, printmaking, video, and digital media."
,,The College — Independent Concentration,Independent Concentration,5.40%,"Student-designed concentration approved by the College Curriculum Council, allowing students to build an interdisciplinary program of study around a coherent intellectual question."
,,"Special Undergraduate Programs (PLME, BRDD, 5-Year Combined)",Program in Liberal Medical Education (PLME),3.00%,8-year combined baccalaureate/MD program with the Warren Alpert Medical School; students earn a Brown undergraduate degree and an MD with direct admission from high school.
,,,Brown-RISD Dual Degree Program (BRDD),2.80%,5-year dual-degree program with Rhode Island School of Design; students earn a BA or ScB from Brown and a BFA from RISD.
,,,"Brown 5-Year Combined Degree Programs (BA/MA, BS/ScM)",N/A first-year; ~5.4% Brown admit first,Combined bachelor's-and-master's programs allowing undergraduates to earn a graduate degree in five years across multiple fields.
,,,"Brown 5-Year Combined Degree Programs (BA/MA, BS/ScM)",N/A first-year; ~5.4% Brown admit first,
