University,U.S. News Rankings,College,Majors,College Specific Acceptance Rate,Description
,,,Spanish (A.B.),10.40%,"Spanish language, literature, and culture across Spain, Latin America, the Caribbean, and the U.S. — preparation for careers requiring Spanish-language and cross-cultural competence."
,,,Theology (A.B.),10.60%,"Required core in Scripture and Christian Tradition followed by wide-ranging electives across ancient Judaism, environmental ethics, Catholic dialogue with Islam, and beyond — 200+ majors, 60+ faculty."
,,College of Arts and Letters — Social Sciences,Anthropology (A.B.),10.00%,"Anthropology with honors track and two concentrations — Health & Culture (medical anthropology, bioanthropology, STS) and Business Anthropology (global trade, cultural marketing, design anthropology)."
,,,Economics (A.B.),7.80%,"Liberal-arts economics with strong quantitative, analytical, and communications training. Includes Development Economics, Health Economics, and Economics of Catholic Social Teaching."
,,,"Education, Schooling, and Society (Supplementary Major)",N/A supplementary major,"Interdisciplinary supplementary major (paired with a primary major) examining the role of education in society. Prepares students for teaching, educational research, nonprofits, and policy."
,,,Gender Studies (A.B.),10.60%,Interdisciplinary analysis of gender and sexuality in diverse contexts with 60+ affiliated faculty across 22 areas. Strong focus on social justice and community engagement.
,,,Political Science (A.B.),8.50%,"Comprehensive coverage of American politics, international relations, comparative politics, and political theory with 45+ faculty — preparation for law, policy, and graduate study."
,,,Psychology (A.B.),8.40%,"Brain, mind, and human behavior — preparation for medicine, health professions, graduate study, business, and the private sector. The B.A. in Neuroscience and Behavior is listed separately."
,,,Sociology (A.B.),9.80%,"Empirical analysis of social structures and human behavior — quantitative methods, critical thinking, cultural competence, and applications across business, medicine, education, data science, and law."
,,College of Arts and Letters — Arts,Art History (A.B.),10.30%,"Art and architecture of world cultures across the present and past in their political, economic, scientific, and religious contexts — visual analysis, critical thinking, and analytical writing."
,,,Design (A.B.),8.80%,"Human-centered design across traditional and contemporary media — concentrations in Industrial Design (UX, health care, product, automation) or Visual Communication Design (packaging, UX/UI, data visualization)."
,,,Studio Art (A.B.),9.50%,"Studio practice in aesthetics, composition, critical skills, and both traditional and digital techniques. Interdisciplinary curriculum across a range of media."
,,College of Arts and Letters — Interdisciplinary & Pre-Professional,Arts and Letters Pre-Health (Supplementary Major),N/A supplementary track,"Supplementary major (paired with a primary A&L major) for students intending health professions — combines A&L breadth with prerequisite science coursework for medical, dental, and other health programs."
,,,Neuroscience and Behavior (B.A.),7.20%,"Interdisciplinary nervous-systems major (B.A. version housed in A&L; B.S. version in Science). Draws on biology, chemistry, computer science, engineering, linguistics, math, philosophy, physics, and psychology."
,,College of Science,Applied and Computational Mathematics and Statistics (ACMS) (B.S.),7.40%,"Modeling, simulation, and data analysis for problems across business, engineering, the natural sciences, and social sciences. Preparation for technical fields and quantitative graduate study."
,,,Biochemistry (B.S.),7.30%,Rigorous chemistry training combined with biological macromolecules and metabolic processes. Smaller classes shared with chemistry majors in early years; strong undergraduate research emphasis.
,,,Biochemistry with a Concentration in Neuroscience (B.S.),7.00%,Biochemistry variant adding a neuroscience concentration — molecular and biochemical underpinnings of nervous-system function. Strong fit for med school or neuroscience graduate research.
,,,Biological Sciences (B.S.),7.80%,Flexible major with a core curriculum and eight specialized tracks for depth — from aquatic ecology to molecular biology — with close mentorship and undergraduate research opportunities.
,,,Chemistry (B.S.),8.30%,"The 'central science' — preparation for medical/dental school, graduate research, or chemical industry employment. Classes taught separately from non-majors; 50+ research faculty for undergraduate research."
,,,Chemistry Combined with Computing (B.S.),7.60%,"Chemistry with an integrated computing sequence — molecular modeling, data analysis, and algorithm development. Suitable for computational chemistry, cheminformatics, or life-sciences data science."
,,,Chemistry with a Concentration in Neuroscience (B.S.),7.20%,Chemistry variant focused on the chemical and molecular basis of neural function. Preparation for graduate or professional programs at the intersection of chemistry and neuroscience.
,,,Environmental Sciences (B.S.),8.60%,"Interdisciplinary integration of physical and biological sciences with focus options including aquatic ecology, geological sciences, entomology, vertebrate zoology, and an Earth Sciences concentration."
,,,Mathematics (B.S.),8.00%,"Mathematics with programs tailored for life sciences, business, engineering, and social science applications. Rigorous honors track for graduate-bound students; emphasis on undergraduate research."
,,,Neuroscience and Behavior (B.S.),7.00%,Interdisciplinary nervous-systems major (B.S. version through Science; B.A. version through A&L) from cellular/molecular to behavioral/systems levels. Flexible curriculum for pre-health or research paths.
,,,Physics (B.S.),8.40%,"Rigorous problem-solving training with research opportunities at Fermilab, Argonne, and CERN. Research in astrophysics, nuclear, particle, condensed matter, biophysics, and atomic physics."
,,,Physics in Medicine (B.S.),7.80%,Physics combined with the foundation for medical school — 77 science credits required. Specifically designed for medicine-bound students; no additional concentrations permitted.
,,,Preprofessional Studies (B.S.),7.10%,"64-credit interdisciplinary science major for students preparing for health professions. Allows more breadth in social sciences, humanities, and ethics than traditional pre-med tracks. Established 1960."
,,,Science-Computing (B.S.),7.30%,Individualized program incorporating the four basic science areas plus a computing sequence — working knowledge of computer languages and current computing technology with a science focus.
,,,Science-Education (B.S.),8.70%,Individualized program combining the four basic sciences with secondary-science teaching certification requirements. Education courses taken at Saint Mary's College.
,,,Statistics (B.S.),7.60%,"Statistical analysis for data-intensive careers — investment data analysis, online sales pattern identification, actuarial risk, political surveys, and manufacturing performance data."
,,Mendoza College of Business,Accountancy (B.B.A.),6.80%,"Strategic Cost Management, Ethics in Accounting, Federal Taxation, and Data Analytics in Accounting. Distinguished by emphasis on data analytics, mining, simulation, and optimization. 98%+ placement rate."
,,,Business Analytics (B.B.A.),6.10%,"Data-driven analysis of business operations using statistics, predictive analytics, data visualization, R, Python, machine learning, and data management — applicable across technology, consulting, finance, and healthcare."
,,,Finance (B.B.A.),5.80%,"Investment Theory, Corporate Financial Reporting, and Managerial Economics within an ethical framework. Access to the Clark Lecture Series on banking, credit markets, and economic policy."
,,,Information Technology Analytics and Operations (ITAO) (B.B.A.),6.40%,"Combines technical rigor of computer science with strategic business insight — AI-enabled analysis, data modeling, and technology strategy applied to business and operational challenges."
,,,Marketing (B.B.A.),6.70%,"Marketing Research, Consumer and Organizational Buyer Behavior, and Social Media coursework. Signature senior Advertising Campaigns course has students create and present campaigns for real clients."
,,,Strategic Management (B.B.A.),6.90%,"Formerly Management Consulting — understanding organizational change, employee/market response, and strategic opportunity. Courses include International Management, Strategic IT and Innovation, and Design Thinking."
,,College of Engineering,Aerospace Engineering (B.S.A.E.),7.00%,"Design and operation of aircraft and space vehicles. Specializations available in design and manufacturing, thermal/fluid sciences, bioengineering, solid mechanics, materials, control systems, and computational engineering."
,,,Chemical Engineering (B.S.Ch.),7.50%,"Chemical engineering principles combined with modern data science and computational tools. Concentrations available in Biomolecular Engineering, Energy, or Materials."
,,,Civil Engineering (B.S.C.E.),8.00%,"Design, construction, and renewal of buildings, bridges, roads, dams, airports, and water/energy systems. Sub-disciplines include structural, water resources, transportation, coastal, construction, and geotechnical engineering."
,,,Computer Engineering (B.S.C.P.),6.70%,Electronic devices and computer system architecture/organization — internal CPU workings and the assembly of larger computing systems with hands-on prototyping using modern design tools.
,,,Computer Science (B.S.C.S.),6.30%,"Application of computers to real-world problems with emphasis on algorithms, software engineering, and the design of large, efficient, scalable software systems. (B.A. version separately in A&L.)"
,,,Electrical Engineering (B.S.E.E.),7.00%,"Electrical and electronic systems across information/communication, materials and devices, circuits, and algorithms for next-generation computing platforms — applicable across aerospace, automotive, medical, and tech industries."
,,,Environmental Earth Sciences (B.S.),8.70%,"Fluid dynamics, hydrology, environmental chemistry, and geochemistry within Earth-system context. Includes Dynamic Earth, Geomorphology, Earth Materials/Petrology, Environmental Aquatic Chemistry, and Mineralogy."
,,,Environmental Engineering (B.S.),7.80%,"Water treatment, contaminated-water remediation, solid/hazardous waste management, air pollution mitigation, and waste-to-value sustainability solutions — addressing food, water, and energy demands."
,,,Mechanical Engineering (B.S.M.E.),7.10%,"Design of solutions across energy, transportation, robotics, and medical devices. Elective specializations in aerospace, design and manufacturing, thermal/fluid sciences, bioengineering, solid mechanics, materials, and control systems."
,,School of Architecture,"Architecture (B.Arch., five-year professional degree)",8.00%,"Five-year professional degree emphasizing classical and vernacular architecture within traditional urbanism. Year 1: hand drawing and drafting. Year 2: construction principles. Year 3: full year in Rome studying traditional urbanism. Years 4–5: regionalism, cross-cultural values, and a spring thesis studio."
,,Keough School of Global Affairs,Global Affairs (B.A.),8.60%,"Interdisciplinary study of contemporary global issues — human-centered approach to policy. Core in Integral Human Development, Global Politics and Policy, Principles of Economics, and Quantitative Methods, with electives, language learning, and a capstone thesis integrating cross-cultural experience."
