University,US NEWS Ranking,College,Majors in that college,College Specific Acceptance Rate,Description for Majors
,,,English (B.A.),5–6%,Study of literature in English alongside critical analysis and writing
,,,Environmental Engineering (B.S.),5–6%,"Application of engineering to protect and manage air, water, and land resources"
,,,Environmental Studies (B.A. or B.S.),5–6%,"Interdisciplinary study of environmental problems through science, policy, and the humanities"
,,,"Ethics, Politics, and Economics (B.A.)",3–4%,"Interdisciplinary major integrating philosophy, political science, and economics"
,,,"Ethnicity, Race, and Migration (B.A.)",6–7%,"Study of race, ethnicity, and migration across societies and histories"
,,,Film and Media Studies (B.A.),6–7%,"Study of film, media, and their cultural, historical, and theoretical dimensions"
,,,French (B.A.),8–10%,"Study of French language, literature, and Francophone cultures"
,,,German Studies (B.A.),8–10%,"Study of German language, literature, thought, and culture"
,,,Global Affairs (B.A.),3–4%,"Interdisciplinary study of international policy, governance, and global challenges"
,,,"Greek, Ancient and Modern (B.A.)",9–10%,Study of the Greek language and literature from antiquity to the present
,,,History (B.A.),5–6%,Study of the human past across regions and eras using primary sources
,,,History of Art (B.A.),6–7%,Study of visual art and architecture in historical and cultural context
,,,"History of Science, Medicine, and Public Health (B.A.)",6–7%,"Study of how science, medicine, and health have developed in society"
,,,Humanities (B.A.),6–7%,"Interdisciplinary study of texts, ideas, and cultures across the humanistic disciplines"
,,,Italian Studies (B.A.),8–10%,"Study of Italian language, literature, and culture"
,,,Jewish Studies (B.A.),8–9%,"Interdisciplinary study of Jewish history, religion, languages, and culture"
,,,Latin American Studies (B.A.),7–8%,"Interdisciplinary study of the cultures, politics, and history of Latin America"
,,,Linguistics (B.A.),5–6%,"Scientific study of language structure, sound, meaning, and use"
,,,Mathematics (B.A. or B.S.),4–5%,Study of pure and applied mathematics and rigorous logical reasoning
,,,Mathematics and Philosophy (B.A.),5–6%,"Combined study of mathematical reasoning and philosophical analysis, including logic"
,,,Mathematics and Physics (B.S.),4–5%,Combined major joining advanced mathematics with theoretical and experimental physics
,,,Mechanical Engineering (B.S.),4–5%,"Study of the design, analysis, and manufacture of mechanical systems"
,,,Modern Middle East Studies (B.A.),7–8%,"Interdisciplinary study of the societies, politics, and cultures of the modern Middle East"
,,,Molecular Biophysics and Biochemistry (B.A. or B.S.),4–5%,Study of the molecular foundations of biological systems
,,,"Molecular, Cellular, and Developmental Biology (B.A. or B.S.)",4–5%,"Study of life at the molecular, cellular, and developmental levels"
,,,Music (B.A.),7–9%,"Study of music through theory, history, composition, and performance"
,,,Near Eastern Languages and Civilizations (B.A.),8–10%,"Study of the languages, history, and cultures of the ancient and modern Near East"
,,,Neuroscience (B.A. or B.S.),3–4%,"Study of the nervous system, brain, and the biological basis of behavior"
,,,Philosophy (B.A.),5–6%,"Study of fundamental questions of knowledge, reality, ethics, and logic"
,,,Physics (B.S.),4–5%,"Study of the fundamental laws governing matter, energy, space, and time"
,,,Physics and Geosciences (B.S.),6–7%,Combined major applying physics to the study of the Earth and planetary systems
,,,Physics and Philosophy (B.A. or B.S.),5–6%,Combined study of physical theory and the philosophical foundations of science
,,,Political Science (B.A.),4–5%,"Study of government, political behavior, institutions, and international relations"
,,,Portuguese (B.A.),9–10%,Study of Portuguese language and the literatures and cultures of the Lusophone world
,,,Psychology (B.A. or B.S.),4–5%,"Scientific study of the mind, brain, and behavior"
,,,Religious Studies (B.A.),8–10%,"Study of religious traditions, texts, and practices across cultures and history"
,,,Russian (B.A.),8–10%,"Study of Russian language, literature, and culture"
,,,"Russian, East European, and Eurasian Studies (B.A.)",8–9%,"Interdisciplinary study of the region's languages, politics, and cultures"
,,,Sociology (B.A.),5–6%,"Study of social relationships, institutions, inequality, and society's structure"
,,,South Asian Studies (second major only),9–10%,"Interdisciplinary study of the languages, cultures, and history of South Asia"
,,,Spanish (B.A.),7–9%,Study of Spanish language and the literatures and cultures of the Spanish-speaking world
,,,Special Divisional Major (B.A. or B.S.),N/A (created after enrollment),A student-designed major created after enrollment for interests not covered by existing programs
,,,Statistics and Data Science (B.A. or B.S.),3–4%,"Study of methods for collecting, analyzing, and interpreting data"
,,,"Theater, Dance, and Performance Studies (B.A.)",7–9%,"Study and practice of theater, dance, and performance in cultural context"
,,,Urban Studies (B.A.),5–6%,"Interdisciplinary study of cities, urban life, and the built environment"
,,,"Women’s, Gender, and Sexuality Studies (B.A.)",7–8%,"Interdisciplinary study of gender, sexuality, and their social and historical dimensions"
